time,intensity,temperature
0.000299792458,2.055179049965182e9,0.931446606006173
0.000599584916,3.9681978934424524e9,0.8676351660440219
0.000899377374,5.748307861364147e9,0.8082570889637207
0.001199169832,7.403981372683442e9,0.753029765289044
0.00149896229,8.942928770586353e9,0.7016960056551405
0.001798754748,1.0372106612791466e10,0.6540237642739009
0.002098547206,1.1697717652117067e10,0.6098061395821682
0.002398339664,1.2925203659732767e10,0.5688616136322959
0.0026981321219999997,1.405923391846392e10,0.5310344359141975
0.00299792458,1.51036950222343e10,0.4961949636093145
0.0032977170379999998,1.6061691954974104e10,0.46423962560211873
0.003597509496,1.6935576471709854e10,0.4350899757888552
0.0038973019540000002,1.7727026014825005e10,0.40869006071443564
0.004197094412,1.8437202562406635e10,0.3850011209619343
0.004496886869999999,1.9067020936986217e10,0.3639926413363533
0.004796679328,1.961754214712468e10,0.34562923040163046
0.005096471786,2.0090471040064884e10,0.32985402057496416
0.0053962642439999995,2.048867897928318e10,0.31657123348035693
0.005696056702,2.0816611762227367e10,0.30563257327749793
0.00599584916,2.1080423463809433e10,0.2968327621234073
0.0062956416179999995,2.1287738585632893e10,0.2899174740202136
0.0065954340759999995,2.1447079390377308e10,0.284602436883942
0.0068952265339999996,2.156712879377308e10,0.28059801982166316
0.007195018992,2.165604594739434e10,0.277632062832136
0.00749481145,2.1720991485651516e10,0.27546571286154486
0.0077946039080000005,2.176790878337027e10,0.27390072026527507
0.008094396366,2.1801518022666393e10,0.2727796367156642
0.008394188824,2.1825442917685837e10,0.27198158811967704
0.008693981282,2.1842395413508804e10,0.2714161137266233
0.008993773739999999,2.1854367296391132e10,0.2710167746984771
0.009293566198,2.1862801563396057e10,0.27073543783426146
0.009593358656,2.186873338900816e10,0.270537573429944
0.009893151114,2.1872900182968166e10,0.27039858414422935
0.010192943572,2.1875824625649746e10,0.27030103523652527
0.010492736030000002,2.1877875890192566e10,0.27023261241640145
0.010792528487999999,2.1879314077897747e10,0.27018463963834116
0.011092320946,2.1880322122491882e10,0.27015101489004484
0.011392113404,2.188102852603042e10,0.2701274518043272
0.011691905862,2.188152347693113e10,0.27011094201939095
0.01199169832,2.1881870235012413e10,0.27009937541482737
0.012291490778,2.1882113153000584e10,0.2700912725429342
0.012591283235999999,2.1882283318206795e10,0.2700855964426298
0.012891075694,2.188240251551316e10,0.270081620448465
0.013190868151999999,2.188248600875439e10,0.2700788354137184
0.01349066061,2.188254449161889e10,0.2700768846353402
0.013790453067999999,2.188258545545813e10,0.270075518228743
0.014090245526,2.188261414799566e10,0.2700745611487111
0.014390037984,2.188263424515444e10,0.27007389077965266
0.014689830442000002,2.1882648321779663e10,0.27007342123397715
0.0149896229,2.18826581814219e10,0.2700730923517129
0.015289415358000002,2.1882665087363033e10,0.27007286199431235
0.015589207816000001,2.1882669924450733e10,0.2700727006464341
0.015889000274,2.1882673312460182e10,0.2700725876346035
0.016188792732,2.1882675685499626e10,0.27007250847852804
0.01648858519,2.188267734763e10,0.2700724530358266
0.016788377648,2.188267851182322e10,0.2700724142025209
0.017088170106,2.188267932724994e10,0.2700723870028134
0.017387962564,2.1882679898392776e10,0.27007236795153894
0.017687755022000002,2.1882680298433758e10,0.27007235460760814
0.017987547479999998,2.1882680578631218e10,0.2700723452612269
0.018287339938,2.188268077488764e10,0.2700723387148173
0.018587132396,2.1882680912349926e10,0.2700723341295691
0.018886924854000002,2.1882681008631504e10,0.27007233091796135
0.019186717312,2.1882681076069218e10,0.2700723286684813
0.01948650977,2.188268112330406e10,0.27007232709289647
0.019786302228,2.188268115638838e10,0.2700723259893225
0.020086094686,2.188268117956135e10,0.2700723252163553
0.020385887144,2.1882681195792206e10,0.2700723246749523
0.020685679602,2.188268120716065e10,0.2700723242957418
0.020985472060000003,2.1882681215123352e10,0.27007232403013454
0.021285264518,2.1882681220700603e10,0.2700723238440974
0.021585056975999998,2.1882681224607033e10,0.27007232371379297
0.021884849434,2.188268122734318e10,0.2700723236225249
0.022184641892,2.188268122925964e10,0.2700723235585988
0.022484434350000002,2.188268123060197e10,0.27007232351382354
0.022784226808,2.1882681231542168e10,0.27007232348246196
0.023084019265999997,2.1882681232200703e10,0.27007232346049564
0.023383811724,2.1882681232661953e10,0.27007232344510995
0.023683604182,2.1882681232985023e10,0.2700723234343335
0.02398339664,2.1882681233211308e10,0.27007232342678544
0.024283189098,2.1882681233369804e10,0.2700723234214986
0.024582981556,2.1882681233480816e10,0.2700723234177956
0.024882774014,2.188268123355857e10,0.27007232341520193
0.025182566471999998,2.1882681233613033e10,0.2700723234133853
0.02548235893,2.188268123365118e10,0.27007232341211285
0.025782151388,2.1882681233677902e10,0.2700723234112216
0.026081943846000002,2.1882681233696617e10,0.2700723234105974
0.026381736303999998,2.1882681233709724e10,0.27007232341016013
0.026681528762,2.1882681233718906e10,0.2700723234098539
0.02698132122,2.1882681233725338e10,0.2700723234096394
0.027281113678,2.188268123372984e10,0.2700723234094891
0.027580906135999998,2.1882681233732994e10,0.27007232340938386
0.027880698594,2.1882681233735207e10,0.27007232340931014
0.028180491052,2.1882681233736755e10,0.2700723234092585
0.02848028351,2.188268123373784e10,0.2700723234092224
0.028780075968,2.1882681233738598e10,0.27007232340919707
0.029079868425999997,2.1882681233739132e10,0.2700723234091793
0.029379660884000004,2.1882681233739502e10,0.27007232340916687
0.029679453342,2.1882681233739765e10,0.27007232340915815
0.0299792458,2.188268123373995e10,0.27007232340915205
0.030279038257999998,2.1882681233740078e10,0.2700723234091478
0.030578830716000004,2.1882681233740166e10,0.2700723234091448
0.030878623174000003,2.1882681233740227e10,0.2700723234091427
0.031178415632000002,2.1882681233740273e10,0.2700723234091413
0.03147820809,2.1882681233740303e10,0.2700723234091403
0.031778000548,2.1882681233740326e10,0.27007232340913956
0.032077793006,2.188268123374034e10,0.27007232340913906
0.032377585464,2.1882681233740353e10,0.27007232340913867
0.032677377922,2.1882681233740364e10,0.27007232340913845
0.03297717038,2.1882681233740368e10,0.2700723234091383
0.033276962837999996,2.188268123374037e10,0.27007232340913817
0.033576755296,2.188268123374037e10,0.27007232340913806
0.033876547754,2.188268123374037e10,0.270072323409138
0.034176340212,2.188268123374037e10,0.27007232340913795
0.03447613267,2.188268123374037e10,0.2700723234091379
0.034775925128,2.188268123374037e10,0.2700723234091379
0.035075717586000005,2.188268123374037e10,0.2700723234091379
0.035375510044000004,2.188268123374037e10,0.2700723234091379
0.035675302501999996,2.188268123374037e10,0.2700723234091379
0.035975094959999995,2.188268123374037e10,0.2700723234091379
0.036274887418,2.188268123374037e10,0.2700723234091379
0.036574679876,2.188268123374037e10,0.2700723234091379
0.036874472334,2.188268123374037e10,0.2700723234091379
0.037174264792,2.188268123374037e10,0.2700723234091379
0.03747405725,2.188268123374037e10,0.2700723234091379
0.037773849708000004,2.188268123374037e10,0.2700723234091379
0.038073642166,2.188268123374037e10,0.2700723234091379
0.038373434624,2.188268123374037e10,0.2700723234091379
0.038673227082,2.188268123374037e10,0.2700723234091379
0.03897301954,2.188268123374037e10,0.2700723234091379
0.039272811998,2.188268123374037e10,0.2700723234091379
0.039572604456,2.188268123374037e10,0.2700723234091379
0.039872396914,2.188268123374037e10,0.2700723234091379
0.040172189372,2.188268123374037e10,0.2700723234091379
0.040471981829999996,2.188268123374037e10,0.2700723234091379
0.040771774288,2.188268123374037e10,0.2700723234091379
0.041071566746,2.188268123374037e10,0.2700723234091379
0.041371359204,2.188268123374037e10,0.2700723234091379
0.041671151662,2.188268123374037e10,0.2700723234091379
0.041970944120000006,2.188268123374037e10,0.2700723234091379
0.042270736578,2.188268123374037e10,0.2700723234091379
0.042570529036,2.188268123374037e10,0.2700723234091379
0.042870321494,2.188268123374037e10,0.2700723234091379
0.043170113951999996,2.188268123374037e10,0.2700723234091379
0.04346990641,2.188268123374037e10,0.2700723234091379
0.043769698868,2.188268123374037e10,0.2700723234091379
0.044069491326,2.188268123374037e10,0.2700723234091379
0.044369283784,2.188268123374037e10,0.2700723234091379
0.044669076242,2.188268123374037e10,0.2700723234091379
0.044968868700000005,2.188268123374037e10,0.2700723234091379
0.045268661158000004,2.188268123374037e10,0.2700723234091379
0.045568453616,2.188268123374037e10,0.2700723234091379
0.045868246073999995,2.188268123374037e10,0.2700723234091379
0.046168038531999994,2.188268123374037e10,0.2700723234091379
0.04646783099,2.188268123374037e10,0.2700723234091379
0.046767623448,2.188268123374037e10,0.2700723234091379
0.047067415906,2.188268123374037e10,0.2700723234091379
0.047367208364,2.188268123374037e10,0.2700723234091379
0.047667000822000004,2.188268123374037e10,0.2700723234091379
0.04796679328,2.188268123374037e10,0.2700723234091379
0.048266585738,2.188268123374037e10,0.2700723234091379
0.048566378196,2.188268123374037e10,0.2700723234091379
0.048866170654,2.188268123374037e10,0.2700723234091379
0.049165963112,2.188268123374037e10,0.2700723234091379
0.04946575557,2.188268123374037e10,0.2700723234091379
0.049765548028,2.188268123374037e10,0.2700723234091379
0.050065340486,2.188268123374037e10,0.2700723234091379
0.050365132943999996,2.188268123374037e10,0.2700723234091379
0.050664925402,2.188268123374037e10,0.2700723234091379
0.05096471786,2.188268123374037e10,0.2700723234091379
0.051264510318,2.188268123374037e10,0.2700723234091379
0.051564302776,2.188268123374037e10,0.2700723234091379
0.051864095234,2.188268123374037e10,0.2700723234091379
0.052163887692000005,2.188268123374037e10,0.2700723234091379
0.05246368015,2.188268123374037e10,0.2700723234091379
0.052763472607999996,2.188268123374037e10,0.2700723234091379
0.053063265065999995,2.188268123374037e10,0.2700723234091379
0.053363057524,2.188268123374037e10,0.2700723234091379
0.053662849982,2.188268123374037e10,0.2700723234091379
0.05396264244,2.188268123374037e10,0.2700723234091379
0.054262434898,2.188268123374037e10,0.2700723234091379
0.054562227356,2.188268123374037e10,0.2700723234091379
0.054862019814000004,2.188268123374037e10,0.2700723234091379
0.055161812271999996,2.188268123374037e10,0.2700723234091379
0.05546160473,2.188268123374037e10,0.2700723234091379
0.055761397188,2.188268123374037e10,0.2700723234091379
0.056061189645999994,2.188268123374037e10,0.2700723234091379
0.056360982104,2.188268123374037e10,0.2700723234091379
0.05666077456199999,2.188268123374037e10,0.2700723234091379
0.05696056702,2.188268123374037e10,0.2700723234091379
0.057260359478000004,2.188268123374037e10,0.2700723234091379
0.057560151936,2.188268123374037e10,0.2700723234091379
0.057859944394,2.188268123374037e10,0.2700723234091379
0.058159736851999995,2.188268123374037e10,0.2700723234091379
0.05845952931,2.188268123374037e10,0.2700723234091379
0.05875932176800001,2.188268123374037e10,0.2700723234091379
0.059059114226,2.188268123374037e10,0.2700723234091379
0.059358906684,2.188268123374037e10,0.2700723234091379
0.05965869914199999,2.188268123374037e10,0.2700723234091379
0.0599584916,2.188268123374037e10,0.2700723234091379
0.060258284058,2.188268123374037e10,0.2700723234091379
0.060558076515999995,2.188268123374037e10,0.2700723234091379
0.060857868974,2.188268123374037e10,0.2700723234091379
0.06115766143200001,2.188268123374037e10,0.2700723234091379
0.06145745389,2.188268123374037e10,0.2700723234091379
0.061757246348000006,2.188268123374037e10,0.2700723234091379
0.062057038806,2.188268123374037e10,0.2700723234091379
0.062356831264000004,2.188268123374037e10,0.2700723234091379
0.06265662372200001,2.188268123374037e10,0.2700723234091379
0.06295641618,2.188268123374037e10,0.2700723234091379
0.06325620863800001,2.188268123374037e10,0.2700723234091379
0.063556001096,2.188268123374037e10,0.2700723234091379
0.063855793554,2.188268123374037e10,0.2700723234091379
0.064155586012,2.188268123374037e10,0.2700723234091379
0.06445537846999999,2.188268123374037e10,0.2700723234091379
0.064755170928,2.188268123374037e10,0.2700723234091379
0.06505496338599999,2.188268123374037e10,0.2700723234091379
0.065354755844,2.188268123374037e10,0.2700723234091379
0.065654548302,2.188268123374037e10,0.2700723234091379
0.06595434076,2.188268123374037e10,0.2700723234091379
0.066254133218,2.188268123374037e10,0.2700723234091379
0.06655392567599999,2.188268123374037e10,0.2700723234091379
0.066853718134,2.188268123374037e10,0.2700723234091379
0.067153510592,2.188268123374037e10,0.2700723234091379
0.06745330305,2.188268123374037e10,0.2700723234091379
0.067753095508,2.188268123374037e10,0.2700723234091379
0.068052887966,2.188268123374037e10,0.2700723234091379
0.068352680424,2.188268123374037e10,0.2700723234091379
0.068652472882,2.188268123374037e10,0.2700723234091379
0.06895226534,2.188268123374037e10,0.2700723234091379
0.069252057798,2.188268123374037e10,0.2700723234091379
0.069551850256,2.188268123374037e10,0.2700723234091379
0.069851642714,2.188268123374037e10,0.2700723234091379
0.07015143517200001,2.188268123374037e10,0.2700723234091379
0.07045122763,2.188268123374037e10,0.2700723234091379
0.07075102008800001,2.188268123374037e10,0.2700723234091379
0.071050812546,2.188268123374037e10,0.2700723234091379
0.07135060500399999,2.188268123374037e10,0.2700723234091379
0.071650397462,2.188268123374037e10,0.2700723234091379
0.07195018991999999,2.188268123374037e10,0.2700723234091379
0.072249982378,2.188268123374037e10,0.2700723234091379
0.072549774836,2.188268123374037e10,0.2700723234091379
0.072849567294,2.188268123374037e10,0.2700723234091379
0.073149359752,2.188268123374037e10,0.2700723234091379
0.07344915221,2.188268123374037e10,0.2700723234091379
0.073748944668,2.188268123374037e10,0.2700723234091379
0.074048737126,2.188268123374037e10,0.2700723234091379
0.074348529584,2.188268123374037e10,0.2700723234091379
0.074648322042,2.188268123374037e10,0.2700723234091379
0.0749481145,2.188268123374037e10,0.2700723234091379
0.075247906958,2.188268123374037e10,0.2700723234091379
0.07554769941600001,2.188268123374037e10,0.2700723234091379
0.075847491874,2.188268123374037e10,0.2700723234091379
0.076147284332,2.188268123374037e10,0.2700723234091379
0.07644707679,2.188268123374037e10,0.2700723234091379
0.076746869248,2.188268123374037e10,0.2700723234091379
0.07704666170600001,2.188268123374037e10,0.2700723234091379
0.077346454164,2.188268123374037e10,0.2700723234091379
0.077646246622,2.188268123374037e10,0.2700723234091379
0.07794603908,2.188268123374037e10,0.2700723234091379
0.078245831538,2.188268123374037e10,0.2700723234091379
0.078545623996,2.188268123374037e10,0.2700723234091379
0.07884541645399999,2.188268123374037e10,0.2700723234091379
0.079145208912,2.188268123374037e10,0.2700723234091379
0.07944500136999999,2.188268123374037e10,0.2700723234091379
0.079744793828,2.188268123374037e10,0.2700723234091379
0.080044586286,2.188268123374037e10,0.2700723234091379
0.080344378744,2.188268123374037e10,0.2700723234091379
0.080644171202,2.188268123374037e10,0.2700723234091379
0.08094396365999999,2.188268123374037e10,0.2700723234091379
0.081243756118,2.188268123374037e10,0.2700723234091379
0.081543548576,2.188268123374037e10,0.2700723234091379
0.081843341034,2.188268123374037e10,0.2700723234091379
0.082143133492,2.188268123374037e10,0.2700723234091379
0.08244292595000001,2.188268123374037e10,0.2700723234091379
0.082742718408,2.188268123374037e10,0.2700723234091379
0.08304251086600001,2.188268123374037e10,0.2700723234091379
0.083342303324,2.188268123374037e10,0.2700723234091379
0.083642095782,2.188268123374037e10,0.2700723234091379
0.08394188824000001,2.188268123374037e10,0.2700723234091379
0.084241680698,2.188268123374037e10,0.2700723234091379
0.084541473156,2.188268123374037e10,0.2700723234091379
0.08484126561399999,2.188268123374037e10,0.2700723234091379
0.085141058072,2.188268123374037e10,0.2700723234091379
0.08544085053,2.188268123374037e10,0.2700723234091379
0.085740642988,2.188268123374037e10,0.2700723234091379
0.086040435446,2.188268123374037e10,0.2700723234091379
0.08634022790399999,2.188268123374037e10,0.2700723234091379
0.086640020362,2.188268123374037e10,0.2700723234091379
0.08693981282,2.188268123374037e10,0.2700723234091379
0.087239605278,2.188268123374037e10,0.2700723234091379
0.087539397736,2.188268123374037e10,0.2700723234091379
0.087839190194,2.188268123374037e10,0.2700723234091379
0.088138982652,2.188268123374037e10,0.2700723234091379
0.08843877511,2.188268123374037e10,0.2700723234091379
0.088738567568,2.188268123374037e10,0.2700723234091379
0.089038360026,2.188268123374037e10,0.2700723234091379
0.089338152484,2.188268123374037e10,0.2700723234091379
0.089637944942,2.188268123374037e10,0.2700723234091379
0.08993773740000001,2.188268123374037e10,0.2700723234091379
0.090237529858,2.188268123374037e10,0.2700723234091379
0.09053732231600001,2.188268123374037e10,0.2700723234091379
0.090837114774,2.188268123374037e10,0.2700723234091379
0.091136907232,2.188268123374037e10,0.2700723234091379
0.09143669969,2.188268123374037e10,0.2700723234091379
0.09173649214799999,2.188268123374037e10,0.2700723234091379
0.092036284606,2.188268123374037e10,0.2700723234091379
0.09233607706399999,2.188268123374037e10,0.2700723234091379
0.092635869522,2.188268123374037e10,0.2700723234091379
0.09293566198,2.188268123374037e10,0.2700723234091379
0.09323545443799999,2.188268123374037e10,0.2700723234091379
0.093535246896,2.188268123374037e10,0.2700723234091379
0.093835039354,2.188268123374037e10,0.2700723234091379
0.094134831812,2.188268123374037e10,0.2700723234091379
0.09443462427,2.188268123374037e10,0.2700723234091379
0.094734416728,2.188268123374037e10,0.2700723234091379
0.095034209186,2.188268123374037e10,0.2700723234091379
0.09533400164400001,2.188268123374037e10,0.2700723234091379
0.095633794102,2.188268123374037e10,0.2700723234091379
0.09593358656,2.188268123374037e10,0.2700723234091379
0.096233379018,2.188268123374037e10,0.2700723234091379
0.096533171476,2.188268123374037e10,0.2700723234091379
0.09683296393400001,2.188268123374037e10,0.2700723234091379
0.097132756392,2.188268123374037e10,0.2700723234091379
0.09743254885000001,2.188268123374037e10,0.2700723234091379
0.097732341308,2.188268123374037e10,0.2700723234091379
0.09803213376600001,2.188268123374037e10,0.2700723234091379
0.098331926224,2.188268123374037e10,0.2700723234091379
0.09863171868199999,2.188268123374037e10,0.2700723234091379
0.09893151114,2.188268123374037e10,0.2700723234091379
